cardNumber,amount,timestamp
1234567812345670,141.67,2025-06-04T13:00:51
1111222233334444,74.5,2025-06-04T14:08:16
1111222233334444,97.64,2025-06-24T18:24:19
1234567812345670,109.37,2025-06-01T20:47:07
1111222233334444,75.95,2025-06-18T20:58:16
1111222233334444,75.79,2025-06-11T18:27:24
5555666677778888,183.46,2025-06-08T17:00:46
5555666677778888,72.31,2025-06-24T16:44:43
1234567812345670,181.89,2025-06-06T08:24:57
1111222233334444,83.14,2025-06-15T12:18:21
5555666677778888,59.29,2025-06-03T19:02:38
1111222233334444,40.91,2025-06-18T12:10:07
1111222233334444,62.53,2025-06-17T13:17:48
5555666677778888,65.46,2025-06-05T16:37:17
1234567812345670,115.93,2025-06-01T20:23:48
1234567812345670,15.87,2025-06-10T15:57:56
1111222233334444,62.69,2025-06-13T09:11:50
5555666677778888,9.79,2025-06-18T09:37:14
1234567812345670,129.55,2025-06-18T09:27:40
1234567812345670,172.32,2025-06-19T14:15:37
1234567812345670,191.2,2025-06-14T10:22:08
5555666677778888,187.82,2025-06-02T20:43:05
5555666677778888,125.6,2025-06-06T16:46:36
1234567812345670,167.11,2025-06-20T19:45:34
1234567812345670,191.06,2025-06-04T18:55:06
1111222233334444,43.19,2025-06-24T18:31:50
5555666677778888,67.62,2025-06-24T21:42:45
1234567812345670,43.68,2025-06-12T17:29:02
1111222233334444,190.95,2025-06-16T21:24:29
5555666677778888,122.89,2025-06-24T19:35:01
5555666677778888,54.31,2025-06-25T18:21:12
1234567812345670,121.11,2025-06-08T12:50:29
1234567812345670,75.11,2025-06-05T14:51:19
1234567812345670,107.39,2025-06-20T09:31:15
5555666677778888,181.91,2025-06-12T10:36:03
1111222233334444,67.07,2025-06-23T16:12:00
1234567812345670,86.31,2025-06-24T08:57:36
1111222233334444,179.24,2025-06-10T17:50:31
5555666677778888,175.99,2025-06-23T16:18:34
5555666677778888,152.85,2025-06-18T12:10:28
1234567812345670,176.0,2025-06-13T16:34:22
1234567812345670,131.26,2025-06-25T13:30:17
1111222233334444,109.28,2025-06-10T10:32:19
1234567812345670,135.47,2025-06-25T14:47:34
1234567812345670,7.91,2025-06-18T12:57:47
5555666677778888,176.17,2025-06-23T18:07:20
1234567812345670,171.95,2025-06-05T17:00:01
1111222233334444,107.91,2025-06-23T11:55:50
5555666677778888,168.8,2025-06-13T14:40:55
1111222233334444,84.99,2025-06-17T08:55:42
5555666677778888,22.83,2025-06-20T13:53:27
1111222233334444,183.72,2025-06-19T17:46:20
1234567812345670,195.1,2025-06-01T08:48:38
1111222233334444,130.66,2025-06-06T08:27:00
1111222233334444,146.65,2025-06-05T08:48:49
1234567812345670,19.65,2025-06-02T15:30:15
